PRESIDENTIAL ELECTORS (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hillary Clinton,,,,,,Donald J. Trump,,,,,,Gary Johnson,,,,,,WRITE-IN,,,,,,Jill Stein,,,,,,Darrell L. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 7 DIST 1,1139,373,16,0,0,0,389,478,12,0,0,0,490,24,2,0,0,0,26,11,1,0,0,0,12,9,0,0,0,0,9,4,0,0,0,0,4,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 7 DIST 2,968,320,22,1,0,0,343,327,14,0,0,0,341,39,2,0,0,0,41,7,0,0,0,0,7,4,0,0,0,0,4,3,0,0,0,0,3,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 7 DIST 3,748,244,13,0,0,0,257,283,16,0,0,0,299,11,3,0,0,0,14,8,0,0,0,0,8,3,0,0,0,0,3,4,0,0,0,0,4,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 8 DIST 1,499,171,11,1,0,0,183,186,10,0,0,0,196,13,0,0,0,0,13,1,1,0,0,0,2,3,0,0,0,0,3,1,0,0,0,0,1,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 8 DIST 2,547,189,26,0,0,0,215,132,21,0,0,0,153,11,1,0,0,0,12,2,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 8 DIST 3,1230,410,30,0,0,0,440,472,21,0,0,0,493,25,1,0,0,0,26,6,0,0,0,0,6,4,1,0,0,0,5,6,0,0,0,0,6,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 8 DIST 4,463,140,9,0,3,0,152,171,6,0,3,0,180,5,0,0,0,0,5,4,0,0,0,0,4,3,0,0,0,0,3,4,0,0,0,0,4,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 9 DIST 1,567,184,7,0,0,0,191,239,16,1,0,0,256,12,2,0,0,0,14,5,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 9 DIST 2,699,216,14,0,0,0,230,255,12,0,0,0,267,18,0,0,0,0,18,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 9 DIST 3,1351,409,30,0,0,0,439,557,25,1,0,0,583,23,5,0,0,0,28,14,2,0,0,0,16,6,1,0,0,0,7,2,1,0,0,0,3,1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAWNOX,1037,367,24,0,1,0,392,292,7,0,3,0,302,19,0,0,0,0,19,7,0,0,0,0,7,11,0,0,0,0,11,3,0,0,0,0,3,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRACKENRIDGE WARD 1,490,156,4,0,0,0,160,132,3,0,0,0,135,1,0,0,0,0,1,2,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRACKENRIDGE WARD 2,783,214,10,0,0,0,224,258,6,0,0,0,264,20,1,1,0,0,22,2,0,0,0,0,2,9,0,0,0,0,9,2,0,0,0,0,2,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRACKENRIDGE WARD 3,666,157,6,1,0,0,164,242,9,0,0,0,251,11,1,0,0,0,12,4,0,0,0,0,4,4,0,0,0,0,4,2,0,0,0,0,2,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK WARD 1,557,300,5,3,0,0,308,33,1,0,0,0,34,2,0,0,0,0,2,1,0,0,0,0,1,6,0,0,0,0,6,1,0,0,0,0,1,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK WARD 2,588,291,11,4,0,0,306,36,2,0,0,0,38,1,0,0,0,0,1,2,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK WARD 3,474,215,3,1,0,0,219,11,1,0,0,0,12,2,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK HL DIST 1,817,328,16,0,0,0,344,159,6,0,0,0,165,14,0,0,0,0,14,1,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK HL DIST 2,541,254,8,0,0,0,262,116,5,0,0,0,121,7,0,0,0,0,7,4,0,0,0,0,4,7,0,0,0,0,7,1,0,0,0,0,1,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
