PRESIDENTIAL ELECTORS (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hillary Clinton,,,,,,Donald J. Trump,,,,,,Gary Johnson,,,,,,WRITE-IN,,,,,,Jill Stein,,,,,,Darrell L. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHLAND DIST 7,1094,284,15,0,0,0,299,497,19,2,0,0,518,41,2,0,0,0,43,10,0,0,0,0,10,7,0,0,0,0,7,6,1,1,0,0,8,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHLAND DIST 8,957,208,45,0,0,0,253,360,28,0,0,0,388,22,1,0,0,0,23,4,1,0,0,0,5,4,1,0,0,0,5,2,0,0,0,0,2,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 1,1595,481,34,0,0,0,515,602,47,0,0,0,649,15,1,0,0,0,16,10,2,0,0,0,12,3,1,0,0,0,4,3,0,0,0,0,3,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 2,959,297,14,0,1,0,312,387,19,0,5,0,411,15,1,0,0,0,16,8,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 3,689,203,28,0,0,0,231,268,7,0,0,0,275,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 4,685,229,7,0,0,0,236,228,6,0,0,0,234,10,0,0,0,0,10,4,0,0,0,0,4,5,1,0,0,0,6,2,0,0,0,0,2,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 5,609,165,16,0,0,0,181,253,6,0,0,0,259,19,2,0,0,0,21,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 6,880,269,15,0,0,0,284,290,19,0,0,0,309,11,1,0,0,0,12,11,1,0,0,0,12,2,0,0,0,0,2,0,0,0,0,0,0,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 7,1381,394,24,0,0,0,418,577,52,0,0,0,629,19,3,0,0,0,22,9,1,0,0,0,10,4,2,0,0,0,6,5,0,0,0,0,5,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 8,1436,435,20,1,0,0,456,465,29,1,0,0,495,24,0,0,0,0,24,8,0,0,0,0,8,8,1,0,0,0,9,0,1,0,0,0,1,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON DIST 9,2385,665,64,0,0,0,729,835,53,0,0,0,888,43,3,0,0,0,46,18,4,0,0,0,22,4,1,0,0,0,5,6,0,0,0,0,6,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 1 DIST 1,734,229,16,0,0,0,245,286,9,0,0,0,295,19,3,0,0,0,22,2,0,0,0,0,2,3,0,0,0,0,3,1,0,0,0,0,1,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 1 DIST 2,617,245,14,0,0,0,259,197,6,1,0,0,204,10,0,0,0,0,10,3,1,0,0,0,4,1,0,0,0,0,1,2,0,0,0,0,2,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 1 DIST 3,493,156,11,0,0,0,167,171,5,0,0,0,176,8,1,0,0,0,9,3,1,0,0,0,4,3,0,0,0,0,3,2,0,0,0,0,2,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 1 DIST 4,842,276,18,1,0,0,295,289,19,0,0,0,308,17,1,0,0,0,18,16,0,0,0,0,16,4,0,0,0,0,4,4,0,0,0,0,4,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 2 DIST 1,1148,366,26,2,0,0,394,364,19,1,0,0,384,25,2,0,0,0,27,10,4,0,0,0,14,6,1,0,0,0,7,2,0,0,0,0,2,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 2 DIST 2,947,334,18,0,0,0,352,368,11,0,0,0,379,25,1,0,0,0,26,10,0,0,0,0,10,1,0,0,0,0,1,1,0,0,0,0,1,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 2 DIST 3,707,246,18,0,0,0,264,250,12,1,0,0,263,11,2,0,0,0,13,7,1,0,0,0,8,2,0,0,0,0,2,4,0,0,0,0,4,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 3 DIST 1,660,239,14,1,0,0,254,210,7,2,0,0,219,24,0,0,0,0,24,10,0,0,0,0,10,5,0,0,0,0,5,2,1,0,0,0,3,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 3 DIST 2,686,263,16,4,0,0,283,221,20,6,0,0,247,14,0,0,0,0,14,8,1,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 3 DIST 3,537,165,4,0,0,0,169,185,5,1,0,0,191,21,0,0,0,0,21,5,1,0,0,0,6,6,1,0,0,0,7,2,0,0,0,0,2,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 3 DIST 4,685,262,7,0,0,0,269,226,8,1,0,0,235,20,1,0,0,0,21,12,0,0,0,0,12,6,0,0,0,0,6,2,0,0,0,0,2,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 4 DIST 1,876,293,14,0,0,0,307,312,19,0,0,0,331,21,2,0,0,0,23,15,2,0,0,0,17,9,0,0,0,0,9,2,0,0,0,0,2,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 4 DIST 2,563,186,6,0,0,0,192,246,3,0,0,0,249,13,0,0,0,0,13,9,1,0,0,0,10,2,1,0,0,0,3,2,1,0,0,0,3,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 4 DIST 3,736,246,4,1,0,0,251,321,7,0,0,0,328,17,1,0,0,0,18,7,1,0,0,0,8,2,0,0,0,0,2,1,0,0,0,0,1,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 4 DIST 4,700,236,7,0,0,0,243,262,16,1,0,0,279,16,0,1,0,0,17,1,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,1,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 5 DIST 1,596,180,8,0,0,0,188,251,10,0,0,0,261,19,1,0,0,0,20,4,1,0,0,0,5,2,0,0,0,0,2,2,0,0,0,0,2,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 5 DIST 2,400,127,8,0,0,0,135,155,2,0,0,0,157,12,0,0,0,0,12,5,0,0,0,0,5,2,0,0,0,0,2,5,0,0,0,0,5,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 5 DIST 3,832,213,41,0,0,0,254,301,24,0,0,0,325,23,1,0,0,0,24,6,1,0,0,0,7,3,1,0,0,0,4,2,0,0,0,0,2,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 5 DIST 4,736,261,8,0,0,0,269,260,8,0,0,0,268,15,1,0,0,0,16,8,0,0,0,0,8,3,0,0,0,0,3,5,0,0,0,0,5,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 6 DIST 1,511,199,13,0,0,0,212,148,2,0,0,0,150,13,0,0,0,0,13,6,0,0,0,0,6,4,0,0,0,0,4,2,0,0,0,0,2,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 6 DIST 2,958,353,16,0,0,0,369,300,10,0,0,0,310,21,1,0,0,0,22,7,0,0,0,0,7,9,0,0,0,0,9,2,0,0,0,0,2,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 6 DIST 3,661,225,4,0,0,0,229,209,6,0,0,0,215,15,0,0,0,0,15,8,1,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 6 DIST 4,587,185,4,0,0,0,189,210,8,0,0,0,218,7,1,0,0,0,8,5,0,0,0,0,5,10,1,0,0,0,11,2,0,0,0,0,2,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 7 DIST 1,609,188,12,0,0,0,200,228,8,2,0,0,238,20,0,0,0,0,20,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 7 DIST 2,557,202,10,0,0,0,212,137,5,1,0,0,143,15,0,0,0,0,15,3,0,0,0,0,3,2,0,0,0,0,2,2,0,0,0,0,2,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 7 DIST 3,706,237,8,0,0,0,245,279,14,0,0,0,293,10,0,0,0,0,10,4,0,0,0,0,4,5,0,0,0,0,5,1,0,0,0,0,1,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 7 DIST 4,578,182,6,0,0,0,188,216,4,0,0,0,220,12,0,0,0,0,12,6,0,0,0,0,6,3,0,0,0,0,3,2,0,0,0,0,2,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 8 DIST 1,1574,542,20,1,0,0,563,444,22,1,0,0,467,27,0,0,0,0,27,11,2,0,0,0,13,9,2,0,0,0,11,2,0,0,0,0,2,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 8 DIST 2,528,189,16,0,0,0,205,182,2,1,0,0,185,5,1,0,0,0,6,2,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 8 DIST 3,543,191,12,2,0,0,205,209,7,0,0,0,216,9,0,0,0,0,9,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 9 DIST 1,779,265,10,0,0,0,275,327,15,0,0,0,342,19,1,0,0,0,20,6,0,0,0,0,6,1,0,0,0,0,1,3,0,0,0,0,3,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 9 DIST 2,936,303,20,1,0,0,324,328,11,0,0,0,339,22,1,1,0,0,24,10,1,0,0,0,11,8,1,0,0,0,9,5,0,0,0,0,5,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS WARD 9 DIST 3,830,219,62,1,0,0,282,293,20,0,0,0,313,19,2,0,0,0,21,9,0,0,0,0,9,7,0,1,0,0,8,1,0,0,0,0,1,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSLYN FARM,376,151,9,1,0,0,161,134,5,0,0,0,139,14,1,0,0,0,15,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 1 DIST 1,574,210,5,0,0,0,215,148,5,1,0,0,154,14,0,0,0,0,14,1,0,0,0,0,1,2,0,0,0,0,2,3,0,0,0,0,3,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 1 DIST 2,657,219,4,0,0,0,223,186,2,0,0,0,188,11,0,0,0,0,11,6,0,0,0,0,6,5,0,0,0,0,5,1,0,0,0,0,1,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 2 DIST 1,504,208,5,0,0,0,213,148,3,0,0,0,151,5,0,0,0,0,5,2,0,0,0,0,2,3,0,0,0,0,3,3,0,0,0,0,3,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 2 DIST 2,678,273,14,0,0,0,287,229,7,1,0,0,237,14,0,0,0,0,14,7,2,0,0,0,9,1,0,0,0,0,1,2,1,0,0,0,3,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 3 DIST 1,504,180,12,0,0,0,192,184,8,0,0,0,192,8,0,0,0,0,8,3,2,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 3 DIST 2,732,259,22,0,0,0,281,226,15,0,0,0,241,12,1,0,0,0,13,4,1,0,0,0,5,2,0,0,0,0,2,2,1,0,0,0,3,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 4 DIST 1,772,290,16,1,0,0,307,271,9,0,0,0,280,18,0,0,0,0,18,5,0,0,0,0,5,8,0,0,0,0,8,1,0,0,0,0,1,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 4 DIST 2,608,250,10,0,0,0,260,198,5,1,0,0,204,6,0,0,0,0,6,5,0,0,0,0,5,6,0,0,0,0,6,3,0,0,0,0,3,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 5 DIST 1,590,215,7,0,0,0,222,195,4,1,0,0,200,9,1,0,0,0,10,3,0,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0,1,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 5 DIST 2,746,293,22,0,0,0,315,240,13,0,0,0,253,10,0,0,0,0,10,3,2,0,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 6 DIST 1,695,262,15,1,0,0,278,190,3,1,0,0,194,9,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 6 DIST 2,781,283,13,0,0,0,296,264,12,0,0,0,276,12,0,0,0,0,12,5,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,4,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 7 DIST 1,903,353,14,0,0,0,367,238,23,0,0,0,261,23,0,0,0,0,23,10,0,0,0,0,10,2,0,0,0,0,2,5,0,0,0,0,5,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 7 DIST 2,635,240,19,0,0,0,259,218,10,0,0,0,228,8,1,0,0,0,9,8,0,0,0,0,8,1,1,0,0,0,2,0,0,0,0,0,0,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 8 DIST 1,522,189,7,0,0,0,196,191,8,0,0,0,199,11,0,0,0,0,11,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 8 DIST 2,1018,282,46,0,0,0,328,354,64,0,0,0,418,23,2,0,0,0,25,6,2,0,0,0,8,1,0,0,0,0,1,2,1,0,0,0,3,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 9 DIST 1,313,117,3,1,0,0,121,63,7,0,0,0,70,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT WARD 9 DIST 2,350,141,9,1,0,0,151,91,7,0,0,0,98,5,0,0,0,0,5,6,0,0,0,0,6,3,0,0,0,0,3,1,0,0,0,0,1,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEWICKLEY WARD 1,945,360,32,0,0,0,392,222,10,1,0,0,233,28,8,0,0,0,36,18,3,0,0,0,21,12,0,0,0,0,12,1,0,0,0,0,1,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEWICKLEY WARD 2 DIST 1,500,160,29,0,0,0,189,128,12,1,0,0,141,9,1,0,0,0,10,8,0,0,0,0,8,3,0,0,0,0,3,1,0,0,0,0,1,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEWICKLEY WARD 2 DIST 2,606,194,23,0,0,0,217,170,11,1,0,0,182,11,1,0,0,0,12,9,1,0,0,0,10,1,0,0,0,0,1,2,0,0,0,0,2,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEWICKLEY WARD 3,998,386,22,0,0,0,408,254,19,1,0,0,274,13,1,0,0,0,14,20,0,0,0,0,20,7,0,0,0,0,7,0,0,0,0,0,0,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEWICKLEY HTS,764,185,41,0,0,0,226,259,48,0,0,0,307,9,1,0,0,0,10,5,7,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,2,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEWICKLEY HILLS,525,163,18,0,0,0,181,214,10,0,0,0,224,5,2,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 1 DIST 1,489,173,6,0,0,0,179,192,1,0,0,0,193,12,1,1,0,0,14,3,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 1 DIST 2,498,152,11,2,0,0,165,172,8,2,0,0,182,7,0,0,0,0,7,3,0,0,0,0,3,9,0,0,0,0,9,2,0,0,0,0,2,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 1 DIST 3,605,202,4,0,0,0,206,190,4,0,0,0,194,13,0,0,0,0,13,2,0,0,0,0,2,7,0,0,0,0,7,2,0,0,0,0,2,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 1 DIST 4,590,224,6,0,0,0,230,220,8,0,0,0,228,10,0,0,0,0,10,5,1,0,0,0,6,4,0,0,0,0,4,1,0,0,0,0,1,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 1 DIST 5,661,214,8,1,0,0,223,224,5,1,0,0,230,8,1,0,0,0,9,6,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 2 DIST 1,1053,351,21,0,0,0,372,424,23,1,0,0,448,9,3,0,0,0,12,9,2,0,0,0,11,7,1,0,0,0,8,0,0,0,0,0,0,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 2 DIST 2,750,237,11,0,0,0,248,306,9,0,0,0,315,23,1,0,0,0,24,4,0,0,0,0,4,4,0,0,0,0,4,2,0,0,0,0,2,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 2 DIST 3,580,209,5,0,0,0,214,199,7,0,0,0,206,11,0,0,0,0,11,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 2 DIST 4,757,267,13,0,0,0,280,288,12,0,0,0,300,23,1,0,0,0,24,7,0,0,0,0,7,3,0,0,0,0,3,2,0,0,0,0,2,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 2 DIST 5,373,142,5,0,0,0,147,143,1,0,0,0,144,3,0,0,0,0,3,2,0,0,0,0,2,4,0,0,0,0,4,1,0,0,0,0,1,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 3 DIST 1,588,191,9,0,0,0,200,241,12,0,0,0,253,13,3,0,0,0,16,5,1,0,0,0,6,1,0,0,0,0,1,3,0,0,0,0,3,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 3 DIST 2,596,190,9,1,0,0,200,251,9,0,0,0,260,10,0,0,0,0,10,3,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 3 DIST 3,594,169,8,1,0,0,178,284,12,0,0,0,296,14,0,0,0,0,14,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 3 DIST 4,710,245,12,0,0,0,257,277,9,0,0,0,286,12,0,0,0,0,12,13,0,0,0,0,13,3,0,0,0,0,3,2,0,0,0,0,2,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 3 DIST 5,684,196,10,0,0,0,206,315,7,0,0,0,322,16,2,0,0,0,18,9,1,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 4 DIST 1,829,289,9,0,0,0,298,324,7,1,0,0,332,21,1,0,0,0,22,10,0,0,0,0,10,2,1,0,0,0,3,3,0,0,0,0,3,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 4 DIST 2,468,146,6,0,0,0,152,152,3,0,0,0,155,21,0,0,0,0,21,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHALER WARD 4 DIST 3,651,225,10,0,0,0,235,256,5,2,0,0,263,26,1,0,0,0,27,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
